user_id,program_id,ta_role,avg_student_rating,num_sessions_taken,response_time_avg,engagement_score
U00979,P001,regular_ta,4.75,17,8.0,0.81
U00750,P001,regular_ta,4.63,8,4.22,0.52
U00456,P001,regular_ta,4.6,8,9.51,0.64
U01248,P002,regular_ta,4.41,14,4.05,0.55
U00801,P002,regular_ta,3.57,17,1.13,0.57
U00488,P002,regular_ta,4.03,5,5.71,0.91
U00704,P002,regular_ta,4.64,11,4.94,0.96
U00779,P003,regular_ta,4.78,17,2.27,0.93
U00423,P003,regular_ta,4.94,7,9.92,0.61
U00550,P003,regular_ta,3.25,7,3.97,0.79
U00456,P004,regular_ta,4.76,10,2.68,0.73
U00491,P004,regular_ta,4.44,17,1.93,0.67
U00205,P004,regular_ta,4.51,5,3.92,0.6
U00550,P004,regular_ta,3.72,15,1.06,0.59
U00456,P005,regular_ta,3.52,15,8.46,0.78
U00432,P005,regular_ta,3.75,15,9.24,0.71
U00978,P005,regular_ta,4.16,13,4.29,0.6
U01474,P006,regular_ta,4.25,17,8.08,0.85
U01227,P006,regular_ta,3.08,16,2.88,0.56
U00933,P006,regular_ta,3.58,13,9.31,0.99
U01445,P006,regular_ta,3.37,10,4.35,0.8
U00550,P006,regular_ta,4.77,17,6.02,0.85
U00794,P007,regular_ta,4.15,12,4.37,0.73
U01160,P007,regular_ta,3.92,17,4.58,0.98
U00130,P007,regular_ta,4.1,13,2.95,0.59
U01335,P007,regular_ta,4.06,12,8.52,0.73
U00291,P008,regular_ta,3.47,20,3.25,0.54
U01254,P008,regular_ta,3.0,19,7.05,0.63
U00432,P008,regular_ta,4.93,7,4.65,0.96
U00933,P008,regular_ta,4.51,13,1.81,0.64
U00367,P001,project_ta,4.93,5,3.95,0.91
U00267,P001,project_ta,3.61,11,7.53,0.57
U01243,P001,project_ta,3.09,14,6.02,0.61
U00310,P001,project_ta,3.48,13,8.35,0.82
U00020,P001,project_ta,3.48,15,4.86,0.53
U00456,P001,project_ta,3.09,13,3.4,0.91
U01436,P002,project_ta,3.93,15,6.0,0.55
U01304,P002,project_ta,4.54,16,3.49,0.96
U00483,P002,project_ta,4.83,18,7.9,0.72
U00761,P002,project_ta,3.71,18,1.99,0.89
U00726,P002,project_ta,3.08,5,4.82,0.57
U01445,P002,project_ta,3.64,5,5.32,0.6
U00415,P002,project_ta,4.72,12,5.46,0.88
U00794,P002,project_ta,4.51,5,4.36,0.91
U01131,P003,project_ta,3.44,7,5.87,0.84
U00285,P003,project_ta,3.22,7,1.16,0.95
U00939,P003,project_ta,4.22,18,6.37,0.61
U00272,P003,project_ta,4.88,9,6.16,0.8
U00387,P003,project_ta,3.55,9,5.37,0.97
U01160,P003,project_ta,3.78,20,8.4,0.55
U01189,P004,project_ta,4.5,9,7.9,0.68
U00212,P004,project_ta,4.18,12,2.23,0.68
U00903,P004,project_ta,4.78,17,1.11,0.94
U01304,P004,project_ta,3.49,20,7.81,0.68
U00750,P004,project_ta,3.07,13,7.6,0.97
U01338,P004,project_ta,3.34,9,5.09,0.77
U01071,P004,project_ta,3.89,8,4.16,0.7
U00334,P004,project_ta,3.96,19,6.68,0.66
U00456,P005,project_ta,3.82,11,3.92,0.66
U00500,P005,project_ta,3.42,17,8.38,0.83
U01428,P005,project_ta,4.23,12,1.0,0.86
U01242,P005,project_ta,3.97,16,8.0,0.63
U00861,P005,project_ta,4.42,6,5.97,0.89
U00094,P005,project_ta,4.57,15,1.29,0.59
U00903,P006,project_ta,4.73,19,2.72,0.93
U00801,P006,project_ta,4.19,5,1.28,0.89
U00824,P006,project_ta,3.55,11,1.52,0.85
U00861,P006,project_ta,4.65,13,7.14,0.95
U00903,P006,project_ta,4.28,5,8.64,0.74
U00334,P006,project_ta,4.4,7,9.55,0.91
U00828,P006,project_ta,4.79,18,7.34,0.51
U00362,P006,project_ta,4.32,16,9.67,0.85
U00761,P006,project_ta,4.04,6,8.74,0.72
U01160,P006,project_ta,4.53,8,4.48,0.52
U00794,P007,project_ta,3.78,7,6.29,0.93
U00590,P007,project_ta,4.92,11,2.73,0.87
U00139,P007,project_ta,4.85,18,7.77,0.9
U00291,P007,project_ta,3.85,13,3.31,1.0
U00139,P007,project_ta,3.66,5,9.52,0.7
U00487,P007,project_ta,4.31,12,1.85,0.83
U00409,P007,project_ta,3.65,13,5.16,0.76
U01304,P007,project_ta,3.95,13,9.2,0.84
U01242,P008,project_ta,3.43,13,4.83,0.6
U01298,P008,project_ta,4.34,11,5.05,0.75
U01208,P008,project_ta,3.72,20,5.68,0.72
U00550,P008,project_ta,4.95,19,4.33,0.77
U00488,P008,project_ta,4.99,6,9.55,0.77
U00456,P008,project_ta,4.74,5,9.75,0.76
U01097,P008,project_ta,4.72,18,3.8,0.91
U00040,P008,project_ta,3.62,10,5.73,0.61
